Name,Type of Body,LSGI Name,Constituency,Sl. No. of Constituency
Ward No. 14,Municipal Corporation,Kochi Municipal Corporation,Thripunithura,81
Ward No. 15,Municipal Corporation,Kochi Municipal Corporation,Thripunithura,81
Ward No. 16,Municipal Corporation,Kochi Municipal Corporation,Thripunithura,81
Ward No. 17,Municipal Corporation,Kochi Municipal Corporation,Thripunithura,81
Ward No. 18,Municipal Corporation,Kochi Municipal Corporation,Thripunithura,81
Thripunithura Municipality,Municipality,Thripunithura Municipality,Thripunithura,81
Kumbalam,Grama Panchayat,Kumbalam Grama Panchayat,Thripunithura,81
Maradu,Grama Panchayat,Maradu Grama Panchayat,Thripunithura,81
Udayamperoor,Grama Panchayat,Udayamperoor Grama Panchayat,Thripunithura,81
Ward No. 26,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 27,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 28,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 29,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 30,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 32,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 35,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 52,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 53,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 54,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 55,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 56,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 57,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 58,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 59,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 60,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 61,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 62,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 63,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 64,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 65,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Ward No. 66,Municipal Corporation,Kochi Municipal Corporation,Ernakulam,82
Cheranalloor,Grama Panchayat,Cheranalloor Grama Panchayat,Ernakulam,82
Ward No. 31,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 33,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 34,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 36,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 37,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 38,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 39,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 40,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 41,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 42,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 43,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 44,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 45,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 46,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 47,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 48,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 49,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 50,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
Ward No. 51,Municipal Corporation,Kochi Municipal Corporation,Thrikkakara,83
and Thrikkakara,Grama Panchayat,and Thrikkakara Grama Panchayat,Thrikkakara,83
Aikaranad,Grama Panchayat,Aikaranad Grama Panchayat,Kunnathunad (SC),84
Kizhakkambalam,Grama Panchayat,Kizhakkambalam Grama Panchayat,Kunnathunad (SC),84
Kunnathunad,Grama Panchayat,Kunnathunad Grama Panchayat,Kunnathunad (SC),84
Mazhuvannoor,Grama Panchayat,Mazhuvannoor Grama Panchayat,Kunnathunad (SC),84
Poothrikka,Grama Panchayat,Poothrikka Grama Panchayat,Kunnathunad (SC),84
Thiruvaniyoor,Grama Panchayat,Thiruvaniyoor Grama Panchayat,Kunnathunad (SC),84
Vadavucode-Puthencruz,Grama Panchayat,Vadavucode-Puthencruz Grama Panchayat,Kunnathunad (SC),84
Vazhakulam,Grama Panchayat,Vazhakulam Grama Panchayat,Kunnathunad (SC),84
Amballoor,Grama Panchayat,Amballoor Grama Panchayat,Piravom,85
Edakkattuvayal,Grama Panchayat,Edakkattuvayal Grama Panchayat,Piravom,85
Chottanikkara,Grama Panchayat,Chottanikkara Grama Panchayat,Piravom,85
Mulanthuruthy,Grama Panchayat,Mulanthuruthy Grama Panchayat,Piravom,85
Thiruvankulam,Grama Panchayat,Thiruvankulam Grama Panchayat,Piravom,85
and Elanji,Grama Panchayat,and Elanji Grama Panchayat,Piravom,85
Koothattukulam,Grama Panchayat,Koothattukulam Grama Panchayat,Piravom,85
Maneed,Grama Panchayat,Maneed Grama Panchayat,Piravom,85
Pampakuda,Grama Panchayat,Pampakuda Grama Panchayat,Piravom,85
Piravom,Grama Panchayat,Piravom Grama Panchayat,Piravom,85
Ramamangalam,Grama Panchayat,Ramamangalam Grama Panchayat,Piravom,85
Thirumarady,Grama Panchayat,Thirumarady Grama Panchayat,Piravom,85
Muvattupuzha Municipality,Municipality,Muvattupuzha Municipality,Muvattupuzha,86
Arakuzha,Grama Panchayat,Arakuzha Grama Panchayat,Muvattupuzha,86
Avoly,Grama Panchayat,Avoly Grama Panchayat,Muvattupuzha,86
Ayavana,Grama Panchayat,Ayavana Grama Panchayat,Muvattupuzha,86
Kalloorkad,Grama Panchayat,Kalloorkad Grama Panchayat,Muvattupuzha,86
Manjalloor,Grama Panchayat,Manjalloor Grama Panchayat,Muvattupuzha,86
Marady,Grama Panchayat,Marady Grama Panchayat,Muvattupuzha,86
Paipra,Grama Panchayat,Paipra Grama Panchayat,Muvattupuzha,86
Palakkuzha,Grama Panchayat,Palakkuzha Grama Panchayat,Muvattupuzha,86
Valakom,Grama Panchayat,Valakom Grama Panchayat,Muvattupuzha,86
and Paingottoor,Grama Panchayat,and Paingottoor Grama Panchayat,Muvattupuzha,86
Pothanicad,Grama Panchayat,Pothanicad Grama Panchayat,Muvattupuzha,86
Kothamangalam Municipality,Municipality,Kothamangalam Municipality,Kothamangalam,87
Kavalangad,Grama Panchayat,Kavalangad Grama Panchayat,Kothamangalam,87
Keerampara,Grama Panchayat,Keerampara Grama Panchayat,Kothamangalam,87
Kottappady,Grama Panchayat,Kottappady Grama Panchayat,Kothamangalam,87
Kuttampuzha,Grama Panchayat,Kuttampuzha Grama Panchayat,Kothamangalam,87
Nellikkuzhi,Grama Panchayat,Nellikkuzhi Grama Panchayat,Kothamangalam,87
Pallarimangalam,Grama Panchayat,Pallarimangalam Grama Panchayat,Kothamangalam,87
Pindimana,Grama Panchayat,Pindimana Grama Panchayat,Kothamangalam,87
Varappetty,Grama Panchayat,Varappetty Grama Panchayat,Kothamangalam,87
Adimali,Grama Panchayat,Adimali Grama Panchayat,Devikulam (SC),88
Kanthalloor,Grama Panchayat,Kanthalloor Grama Panchayat,Devikulam (SC),88
Mankulam,Grama Panchayat,Mankulam Grama Panchayat,Devikulam (SC),88
Marayoor,Grama Panchayat,Marayoor Grama Panchayat,Devikulam (SC),88
Munnar,Grama Panchayat,Munnar Grama Panchayat,Devikulam (SC),88
Pallivasal,Grama Panchayat,Pallivasal Grama Panchayat,Devikulam (SC),88
Vattavada,Grama Panchayat,Vattavada Grama Panchayat,Devikulam (SC),88
Vellathooval,Grama Panchayat,Vellathooval Grama Panchayat,Devikulam (SC),88
and Bisonvalley,Grama Panchayat,and Bisonvalley Grama Panchayat,Devikulam (SC),88
Chinnakanal,Grama Panchayat,Chinnakanal Grama Panchayat,Devikulam (SC),88
Erattayar,Grama Panchayat,Erattayar Grama Panchayat,Udumbanchola,89
Karunapuram,Grama Panchayat,Karunapuram Grama Panchayat,Udumbanchola,89
Nedumkandam,Grama Panchayat,Nedumkandam Grama Panchayat,Udumbanchola,89
Pampadumpara,Grama Panchayat,Pampadumpara Grama Panchayat,Udumbanchola,89
Rajakkad,Grama Panchayat,Rajakkad Grama Panchayat,Udumbanchola,89
Rajakumari,Grama Panchayat,Rajakumari Grama Panchayat,Udumbanchola,89
Santhanpara,Grama Panchayat,Santhanpara Grama Panchayat,Udumbanchola,89
Senapathy,Grama Panchayat,Senapathy Grama Panchayat,Udumbanchola,89
Udumbanchola,Grama Panchayat,Udumbanchola Grama Panchayat,Udumbanchola,89
Vandanmedu,Grama Panchayat,Vandanmedu Grama Panchayat,Udumbanchola,89
Thodupuzha Municipality,Municipality,Thodupuzha Municipality,Thodupuzha,90
Alacode,Grama Panchayat,Alacode Grama Panchayat,Thodupuzha,90
Edavetty,Grama Panchayat,Edavetty Grama Panchayat,Thodupuzha,90
Karimannoor,Grama Panchayat,Karimannoor Grama Panchayat,Thodupuzha,90
Karimkunnam,Grama Panchayat,Karimkunnam Grama Panchayat,Thodupuzha,90
Kodikulam,Grama Panchayat,Kodikulam Grama Panchayat,Thodupuzha,90
Kumaramangalam,Grama Panchayat,Kumaramangalam Grama Panchayat,Thodupuzha,90
Manakkad,Grama Panchayat,Manakkad Grama Panchayat,Thodupuzha,90
Muttom,Grama Panchayat,Muttom Grama Panchayat,Thodupuzha,90
Purapuzha,Grama Panchayat,Purapuzha Grama Panchayat,Thodupuzha,90
Udumbannoor,Grama Panchayat,Udumbannoor Grama Panchayat,Thodupuzha,90
Vannapuram,Grama Panchayat,Vannapuram Grama Panchayat,Thodupuzha,90
Velliyamattom,Grama Panchayat,Velliyamattom Grama Panchayat,Thodupuzha,90
Arakkulam,Grama Panchayat,Arakkulam Grama Panchayat,Idukki,91
Idukki-Kanjikuzhi,Grama Panchayat,Idukki-Kanjikuzhi Grama Panchayat,Idukki,91
Kudayathoor,Grama Panchayat,Kudayathoor Grama Panchayat,Idukki,91
Vazhathope,Grama Panchayat,Vazhathope Grama Panchayat,Idukki,91
and Kamakshy,Grama Panchayat,and Kamakshy Grama Panchayat,Idukki,91
Kanchiyar,Grama Panchayat,Kanchiyar Grama Panchayat,Idukki,91
Kattappana,Grama Panchayat,Kattappana Grama Panchayat,Idukki,91
Konnathady,Grama Panchayat,Konnathady Grama Panchayat,Idukki,91
Mariapuram,Grama Panchayat,Mariapuram Grama Panchayat,Idukki,91
Vathikudy,Grama Panchayat,Vathikudy Grama Panchayat,Idukki,91
Ayyappancoil,Grama Panchayat,Ayyappancoil Grama Panchayat,Peerumade,92
Chakkupallam,Grama Panchayat,Chakkupallam Grama Panchayat,Peerumade,92
and Elappara,Grama Panchayat,and Elappara Grama Panchayat,Peerumade,92
Kokkayar,Grama Panchayat,Kokkayar Grama Panchayat,Peerumade,92
Kumily,Grama Panchayat,Kumily Grama Panchayat,Peerumade,92
Peerumade,Grama Panchayat,Peerumade Grama Panchayat,Peerumade,92
Peruvanthanam,Grama Panchayat,Peruvanthanam Grama Panchayat,Peerumade,92
Upputhara,Grama Panchayat,Upputhara Grama Panchayat,Peerumade,92
Vandiperiyar,Grama Panchayat,Vandiperiyar Grama Panchayat,Peerumade,92
Pala Municipality,Municipality,Pala Municipality,Pala,93
Bharananganam,Grama Panchayat,Bharananganam Grama Panchayat,Pala,93
Kadanad,Grama Panchayat,Kadanad Grama Panchayat,Pala,93
Karoor,Grama Panchayat,Karoor Grama Panchayat,Pala,93
Kozhuvanal,Grama Panchayat,Kozhuvanal Grama Panchayat,Pala,93
Meenachil,Grama Panchayat,Meenachil Grama Panchayat,Pala,93
Melukavu,Grama Panchayat,Melukavu Grama Panchayat,Pala,93
Moonnilavu,Grama Panchayat,Moonnilavu Grama Panchayat,Pala,93
Mutholy,Grama Panchayat,Mutholy Grama Panchayat,Pala,93
Ramapuram,Grama Panchayat,Ramapuram Grama Panchayat,Pala,93
Thalanad,Grama Panchayat,Thalanad Grama Panchayat,Pala,93
Thalappalam,Grama Panchayat,Thalappalam Grama Panchayat,Pala,93
and Elikkulam,Grama Panchayat,and Elikkulam Grama Panchayat,Pala,93
Kadaplamattom,Grama Panchayat,Kadaplamattom Grama Panchayat,Kaduthuruthy,94
Kanakkari,Grama Panchayat,Kanakkari Grama Panchayat,Kaduthuruthy,94
Kidangoor,Grama Panchayat,Kidangoor Grama Panchayat,Kaduthuruthy,94
Kuravilangad,Grama Panchayat,Kuravilangad Grama Panchayat,Kaduthuruthy,94
Marangattupilly,Grama Panchayat,Marangattupilly Grama Panchayat,Kaduthuruthy,94
Uzhavoor,Grama Panchayat,Uzhavoor Grama Panchayat,Kaduthuruthy,94
Veliyannoor,Grama Panchayat,Veliyannoor Grama Panchayat,Kaduthuruthy,94
and Kaduthuruthy,Grama Panchayat,and Kaduthuruthy Grama Panchayat,Kaduthuruthy,94
Manjoor,Grama Panchayat,Manjoor Grama Panchayat,Kaduthuruthy,94
Mulakulam,Grama Panchayat,Mulakulam Grama Panchayat,Kaduthuruthy,94
Neezhoor,Grama Panchayat,Neezhoor Grama Panchayat,Kaduthuruthy,94
Vaikom Municipality,Municipality,Vaikom Municipality,Vaikom (SC),95
Puram,Grama Panchayat,Puram Grama Panchayat,Vaikom (SC),95
Thalayazham,Grama Panchayat,Thalayazham Grama Panchayat,Vaikom (SC),95
Thalayolaparambu,Grama Panchayat,Thalayolaparambu Grama Panchayat,Vaikom (SC),95
Udayanapuram,Grama Panchayat,Udayanapuram Grama Panchayat,Vaikom (SC),95
Vechoor,Grama Panchayat,Vechoor Grama Panchayat,Vaikom (SC),95
Velloor,Grama Panchayat,Velloor Grama Panchayat,Vaikom (SC),95
Aymanam,Grama Panchayat,Aymanam Grama Panchayat,Ettumanoor,96
Arpookara,Grama Panchayat,Arpookara Grama Panchayat,Ettumanoor,96
Athirampuzha,Grama Panchayat,Athirampuzha Grama Panchayat,Ettumanoor,96
Ettumanoor,Grama Panchayat,Ettumanoor Grama Panchayat,Ettumanoor,96
Kumarakom,Grama Panchayat,Kumarakom Grama Panchayat,Ettumanoor,96
Neendoor,Grama Panchayat,Neendoor Grama Panchayat,Ettumanoor,96
Thiruvarppu,Grama Panchayat,Thiruvarppu Grama Panchayat,Ettumanoor,96
Kottayam Municipality,Municipality,Kottayam Municipality,Kottayam,97
Kumaranalloor,Grama Panchayat,Kumaranalloor Grama Panchayat,Kottayam,97
Nattakom,Grama Panchayat,Nattakom Grama Panchayat,Kottayam,97
Panachikkad,Grama Panchayat,Panachikkad Grama Panchayat,Kottayam,97
Vijayapuram,Grama Panchayat,Vijayapuram Grama Panchayat,Kottayam,97
Akalakunnam,Grama Panchayat,Akalakunnam Grama Panchayat,Puthuppally,98
Ayarkunnam,Grama Panchayat,Ayarkunnam Grama Panchayat,Puthuppally,98
Kooroppada,Grama Panchayat,Kooroppada Grama Panchayat,Puthuppally,98
Manarcad,Grama Panchayat,Manarcad Grama Panchayat,Puthuppally,98
Meenadom,Grama Panchayat,Meenadom Grama Panchayat,Puthuppally,98
Pampady,Grama Panchayat,Pampady Grama Panchayat,Puthuppally,98
Puthuppally,Grama Panchayat,Puthuppally Grama Panchayat,Puthuppally,98
and Vakathanam,Grama Panchayat,and Vakathanam Grama Panchayat,Puthuppally,98
Changanassery Municipality,Municipality,Changanassery Municipality,Changanassery,99
Kurichy,Grama Panchayat,Kurichy Grama Panchayat,Changanassery,99
Madappally,Grama Panchayat,Madappally Grama Panchayat,Changanassery,99
Paippad,Grama Panchayat,Paippad Grama Panchayat,Changanassery,99
Thrikkodithanam,Grama Panchayat,Thrikkodithanam Grama Panchayat,Changanassery,99
Vazhappally,Grama Panchayat,Vazhappally Grama Panchayat,Changanassery,99
Chirakkadavu,Grama Panchayat,Chirakkadavu Grama Panchayat,Kanjirappally,100
Kanjirappally,Grama Panchayat,Kanjirappally Grama Panchayat,Kanjirappally,100
Manimala,Grama Panchayat,Manimala Grama Panchayat,Kanjirappally,100
and Kangazha,Grama Panchayat,and Kangazha Grama Panchayat,Kanjirappally,100
Karukachal,Grama Panchayat,Karukachal Grama Panchayat,Kanjirappally,100
Nedumkunnam,Grama Panchayat,Nedumkunnam Grama Panchayat,Kanjirappally,100
Vazhoor,Grama Panchayat,Vazhoor Grama Panchayat,Kanjirappally,100
Vellavoor,Grama Panchayat,Vellavoor Grama Panchayat,Kanjirappally,100
and Pallikkathode,Grama Panchayat,and Pallikkathode Grama Panchayat,Kanjirappally,100
Erumeli,Grama Panchayat,Erumeli Grama Panchayat,Poonjar,101
Koottickal,Grama Panchayat,Koottickal Grama Panchayat,Poonjar,101
Mundakayam,Grama Panchayat,Mundakayam Grama Panchayat,Poonjar,101
Parathode,Grama Panchayat,Parathode Grama Panchayat,Poonjar,101
and Erattupetta,Grama Panchayat,and Erattupetta Grama Panchayat,Poonjar,101
Poonjar,Grama Panchayat,Poonjar Grama Panchayat,Poonjar,101
Poonjar Thekkekara,Grama Panchayat,Poonjar Thekkekara Grama Panchayat,Poonjar,101
Teekoy,Grama Panchayat,Teekoy Grama Panchayat,Poonjar,101
Thidanad,Grama Panchayat,Thidanad Grama Panchayat,Poonjar,101
Arookutty,Grama Panchayat,Arookutty Grama Panchayat,Aroor,102
Aroor,Grama Panchayat,Aroor Grama Panchayat,Aroor,102
Chennam-Pallippuram,Grama Panchayat,Chennam-Pallippuram Grama Panchayat,Aroor,102
Ezhupunna,Grama Panchayat,Ezhupunna Grama Panchayat,Aroor,102
Kodamthuruth,Grama Panchayat,Kodamthuruth Grama Panchayat,Aroor,102
Kuthiathode,Grama Panchayat,Kuthiathode Grama Panchayat,Aroor,102
Panavally,Grama Panchayat,Panavally Grama Panchayat,Aroor,102
Perumbalam,Grama Panchayat,Perumbalam Grama Panchayat,Aroor,102
Thycattussery,Grama Panchayat,Thycattussery Grama Panchayat,Aroor,102
Thuravoor,Grama Panchayat,Thuravoor Grama Panchayat,Aroor,102
Cherthala Municipality,Municipality,Cherthala Municipality,Cherthala,103
Cherthala South,Grama Panchayat,Cherthala South Grama Panchayat,Cherthala,103
Kadakkarappally,Grama Panchayat,Kadakkarappally Grama Panchayat,Cherthala,103
Kanjikkuzhi,Grama Panchayat,Kanjikkuzhi Grama Panchayat,Cherthala,103
Muhamma,Grama Panchayat,Muhamma Grama Panchayat,Cherthala,103
Pattanakkad,Grama Panchayat,Pattanakkad Grama Panchayat,Cherthala,103
Thanneermukkam,Grama Panchayat,Thanneermukkam Grama Panchayat,Cherthala,103
Vayalar,Grama Panchayat,Vayalar Grama Panchayat,Cherthala,103
Ward No. 1,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 2,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 3,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 4,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 5,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 6,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 7,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 8,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 9,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 10,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 11,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 12,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 13,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 14,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 15,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 16,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 17,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 18,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 19,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 45,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 46,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 47,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 48,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 49,Municipality,Alappuzha Municipality,Alappuzha,104
Ward No. 50,Municipality,Alappuzha Municipality,Alappuzha,104
and Aryad,Grama Panchayat,and Aryad Grama Panchayat,Alappuzha,104
Mannanchery,Grama Panchayat,Mannanchery Grama Panchayat,Alappuzha,104
Mararikkulam South,Grama Panchayat,Mararikkulam South Grama Panchayat,Alappuzha,104
and Mararikkulam North,Grama Panchayat,and Mararikkulam North Grama Panchayat,Alappuzha,104
Ward No. 20,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 21,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 22,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 23,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 24,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 25,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 26,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 27,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 28,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 29,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 30,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 31,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 32,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 33,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 34,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 35,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 36,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 37,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 38,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 39,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 40,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 41,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 42,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 43,Municipality,Alappuzha Municipality,Ambalappuzha,105
Ward No. 44,Municipality,Alappuzha Municipality,Ambalappuzha,105
and Ambalappuzha North,Grama Panchayat,and Ambalappuzha North Grama Panchayat,Ambalappuzha,105
Ambalappuzha South,Grama Panchayat,Ambalappuzha South Grama Panchayat,Ambalappuzha,105
Punnapra North,Grama Panchayat,Punnapra North Grama Panchayat,Ambalappuzha,105
Punnapra South,Grama Panchayat,Punnapra South Grama Panchayat,Ambalappuzha,105
Purakkad,Grama Panchayat,Purakkad Grama Panchayat,Ambalappuzha,105
Champakkulam,Grama Panchayat,Champakkulam Grama Panchayat,Kuttanad,106
Edathua,Grama Panchayat,Edathua Grama Panchayat,Kuttanad,106
Kainakary,Grama Panchayat,Kainakary Grama Panchayat,Kuttanad,106
Kavalam,Grama Panchayat,Kavalam Grama Panchayat,Kuttanad,106
Muttar,Grama Panchayat,Muttar Grama Panchayat,Kuttanad,106
Nedumudi,Grama Panchayat,Nedumudi Grama Panchayat,Kuttanad,106
Neelamperoor,Grama Panchayat,Neelamperoor Grama Panchayat,Kuttanad,106
Pulinkunnu,Grama Panchayat,Pulinkunnu Grama Panchayat,Kuttanad,106
Ramankary,Grama Panchayat,Ramankary Grama Panchayat,Kuttanad,106
Thakazhy,Grama Panchayat,Thakazhy Grama Panchayat,Kuttanad,106
Thalavady,Grama Panchayat,Thalavady Grama Panchayat,Kuttanad,106
Veliyanad,Grama Panchayat,Veliyanad Grama Panchayat,Kuttanad,106
and Veeyapuram,Grama Panchayat,and Veeyapuram Grama Panchayat,Kuttanad,106
Arattupuzha,Grama Panchayat,Arattupuzha Grama Panchayat,Haripad,107
Cheppad,Grama Panchayat,Cheppad Grama Panchayat,Haripad,107
Cheruthana,Grama Panchayat,Cheruthana Grama Panchayat,Haripad,107
Chingoli,Grama Panchayat,Chingoli Grama Panchayat,Haripad,107
Haripad,Grama Panchayat,Haripad Grama Panchayat,Haripad,107
Karthikappally,Grama Panchayat,Karthikappally Grama Panchayat,Haripad,107
Karuvatta,Grama Panchayat,Karuvatta Grama Panchayat,Haripad,107
Kumarapuram,Grama Panchayat,Kumarapuram Grama Panchayat,Haripad,107
Muthukulam,Grama Panchayat,Muthukulam Grama Panchayat,Haripad,107
Pallippad,Grama Panchayat,Pallippad Grama Panchayat,Haripad,107
Thrikkunnapuzha,Grama Panchayat,Thrikkunnapuzha Grama Panchayat,Haripad,107
Kayamkulam Municipality,Municipality,Kayamkulam Municipality,Kayamkulam,108
Devikulangara,Grama Panchayat,Devikulangara Grama Panchayat,Kayamkulam,108
Kandalloor,Grama Panchayat,Kandalloor Grama Panchayat,Kayamkulam,108
Krishnapuram,Grama Panchayat,Krishnapuram Grama Panchayat,Kayamkulam,108
Pathiyoor,Grama Panchayat,Pathiyoor Grama Panchayat,Kayamkulam,108
and Bharanikkavu,Grama Panchayat,and Bharanikkavu Grama Panchayat,Kayamkulam,108
Chettikulangara,Grama Panchayat,Chettikulangara Grama Panchayat,Kayamkulam,108
Mavelikkara Municipality,Municipality,Mavelikkara Municipality,Mavelikkara (SC),109
Chunakkara,Grama Panchayat,Chunakkara Grama Panchayat,Mavelikkara (SC),109
Mavelikkara–Thekkekara,Grama Panchayat,Mavelikkara–Thekkekara Grama Panchayat,Mavelikkara (SC),109
Mavelikkara- Thamarakkulam,Grama Panchayat,Mavelikkara- Thamarakkulam Grama Panchayat,Mavelikkara (SC),109
Nooranad,Grama Panchayat,Nooranad Grama Panchayat,Mavelikkara (SC),109
Palamel,Grama Panchayat,Palamel Grama Panchayat,Mavelikkara (SC),109
Thazhakara,Grama Panchayat,Thazhakara Grama Panchayat,Mavelikkara (SC),109
Vallikunnam,Grama Panchayat,Vallikunnam Grama Panchayat,Mavelikkara (SC),109
Chengannur Municipality,Municipality,Chengannur Municipality,Chengannur,110
Ala,Grama Panchayat,Ala Grama Panchayat,Chengannur,110
Budhanoor,Grama Panchayat,Budhanoor Grama Panchayat,Chengannur,110
Cheriyanad,Grama Panchayat,Cheriyanad Grama Panchayat,Chengannur,110
Mannar,Grama Panchayat,Mannar Grama Panchayat,Chengannur,110
Mulakuzha,Grama Panchayat,Mulakuzha Grama Panchayat,Chengannur,110
Pandanad,Grama Panchayat,Pandanad Grama Panchayat,Chengannur,110
Puliyoor,Grama Panchayat,Puliyoor Grama Panchayat,Chengannur,110
Thiruvanvandoor,Grama Panchayat,Thiruvanvandoor Grama Panchayat,Chengannur,110
Venmony,Grama Panchayat,Venmony Grama Panchayat,Chengannur,110
and Chennithala– Thriperumthura,Grama Panchayat,and Chennithala– Thriperumthura Grama Panchayat,Chengannur,110
Thiruvalla Municipality,Municipality,Thiruvalla Municipality,Thiruvalla,111
Kadapra,Grama Panchayat,Kadapra Grama Panchayat,Thiruvalla,111
Kaviyoor,Grama Panchayat,Kaviyoor Grama Panchayat,Thiruvalla,111
Kuttoor,Grama Panchayat,Kuttoor Grama Panchayat,Thiruvalla,111
Nedumpram,Grama Panchayat,Nedumpram Grama Panchayat,Thiruvalla,111
Niranam,Grama Panchayat,Niranam Grama Panchayat,Thiruvalla,111
