Name,Type of Body,LSGI Name,Constituency,Sl. No. of Constituency
Panoor,Grama Panchayat,Panoor Grama Panchayat,Kuthuparamba,14
Pattiom,Grama Panchayat,Pattiom Grama Panchayat,Kuthuparamba,14
Peringalam,Grama Panchayat,Peringalam Grama Panchayat,Kuthuparamba,14
Thriprangottur,Grama Panchayat,Thriprangottur Grama Panchayat,Kuthuparamba,14
Mattannur Municipality,Municipality,Mattannur Municipality,Mattannur,15
Chittariparamba,Grama Panchayat,Chittariparamba Grama Panchayat,Mattannur,15
Keezhallur,Grama Panchayat,Keezhallur Grama Panchayat,Mattannur,15
Koodali,Grama Panchayat,Koodali Grama Panchayat,Mattannur,15
Malur,Grama Panchayat,Malur Grama Panchayat,Mattannur,15
Mangattidam,Grama Panchayat,Mangattidam Grama Panchayat,Mattannur,15
Kolayad,Grama Panchayat,Kolayad Grama Panchayat,Mattannur,15
Thillenkeri,Grama Panchayat,Thillenkeri Grama Panchayat,Mattannur,15
and Padiyur-Kalliad,Grama Panchayat,and Padiyur-Kalliad Grama Panchayat,Mattannur,15
Aralam,Grama Panchayat,Aralam Grama Panchayat,Peravoor,16
Ayyankunnu,Grama Panchayat,Ayyankunnu Grama Panchayat,Peravoor,16
Kanichar,Grama Panchayat,Kanichar Grama Panchayat,Peravoor,16
Keezhur- Chavassery,Grama Panchayat,Keezhur- Chavassery Grama Panchayat,Peravoor,16
Kelakam,Grama Panchayat,Kelakam Grama Panchayat,Peravoor,16
Kottiyoor,Grama Panchayat,Kottiyoor Grama Panchayat,Peravoor,16
Muzhakkunnu,Grama Panchayat,Muzhakkunnu Grama Panchayat,Peravoor,16
Payam,Grama Panchayat,Payam Grama Panchayat,Peravoor,16
and Peravoor,Grama Panchayat,and Peravoor Grama Panchayat,Peravoor,16
Edavaka,Grama Panchayat,Edavaka Grama Panchayat,Mananthavady (ST),17
Mananthavady,Grama Panchayat,Mananthavady Grama Panchayat,Mananthavady (ST),17
Panamaram,Grama Panchayat,Panamaram Grama Panchayat,Mananthavady (ST),17
Thavinhal,Grama Panchayat,Thavinhal Grama Panchayat,Mananthavady (ST),17
Thirunelly,Grama Panchayat,Thirunelly Grama Panchayat,Mananthavady (ST),17
Thondernad,Grama Panchayat,Thondernad Grama Panchayat,Mananthavady (ST),17
Vellamunda,Grama Panchayat,Vellamunda Grama Panchayat,Mananthavady (ST),17
Ambalavayal,Grama Panchayat,Ambalavayal Grama Panchayat,Sulthanbathery (ST),18
Meenangadi,Grama Panchayat,Meenangadi Grama Panchayat,Sulthanbathery (ST),18
Mullenkolly,Grama Panchayat,Mullenkolly Grama Panchayat,Sulthanbathery (ST),18
Nenmeni,Grama Panchayat,Nenmeni Grama Panchayat,Sulthanbathery (ST),18
Noolpuzha,Grama Panchayat,Noolpuzha Grama Panchayat,Sulthanbathery (ST),18
Poothadi,Grama Panchayat,Poothadi Grama Panchayat,Sulthanbathery (ST),18
Pulpalli,Grama Panchayat,Pulpalli Grama Panchayat,Sulthanbathery (ST),18
Sulthanbathery,Grama Panchayat,Sulthanbathery Grama Panchayat,Sulthanbathery (ST),18
Kalpetta Municipality,Municipality,Kalpetta Municipality,Kalpetta,19
Kaniambetta,Grama Panchayat,Kaniambetta Grama Panchayat,Kalpetta,19
Kottathara,Grama Panchayat,Kottathara Grama Panchayat,Kalpetta,19
Meppady,Grama Panchayat,Meppady Grama Panchayat,Kalpetta,19
Muppainad,Grama Panchayat,Muppainad Grama Panchayat,Kalpetta,19
Muttil,Grama Panchayat,Muttil Grama Panchayat,Kalpetta,19
Padinharethara,Grama Panchayat,Padinharethara Grama Panchayat,Kalpetta,19
Pozhuthana,Grama Panchayat,Pozhuthana Grama Panchayat,Kalpetta,19
Thariyode,Grama Panchayat,Thariyode Grama Panchayat,Kalpetta,19
Vengappally,Grama Panchayat,Vengappally Grama Panchayat,Kalpetta,19
Vythiri,Grama Panchayat,Vythiri Grama Panchayat,Kalpetta,19
Vadakara Municipality,Municipality,Vadakara Municipality,Vadakara,20
Azhiyur,Grama Panchayat,Azhiyur Grama Panchayat,Vadakara,20
Chorode,Grama Panchayat,Chorode Grama Panchayat,Vadakara,20
Eramala,Grama Panchayat,Eramala Grama Panchayat,Vadakara,20
Onchiam,Grama Panchayat,Onchiam Grama Panchayat,Vadakara,20
Ayancheri,Grama Panchayat,Ayancheri Grama Panchayat,Kuttiadi,21
Kunnummal,Grama Panchayat,Kunnummal Grama Panchayat,Kuttiadi,21
Kuttiadi,Grama Panchayat,Kuttiadi Grama Panchayat,Kuttiadi,21
Purameri,Grama Panchayat,Purameri Grama Panchayat,Kuttiadi,21
Thiruvallur,Grama Panchayat,Thiruvallur Grama Panchayat,Kuttiadi,21
Velom,Grama Panchayat,Velom Grama Panchayat,Kuttiadi,21
Maniyur,Grama Panchayat,Maniyur Grama Panchayat,Kuttiadi,21
Villiappally,Grama Panchayat,Villiappally Grama Panchayat,Kuttiadi,21
Chekkiad,Grama Panchayat,Chekkiad Grama Panchayat,Nadapuram,22
Edacheri,Grama Panchayat,Edacheri Grama Panchayat,Nadapuram,22
Kavilumpara,Grama Panchayat,Kavilumpara Grama Panchayat,Nadapuram,22
Kayakkodi,Grama Panchayat,Kayakkodi Grama Panchayat,Nadapuram,22
Maruthonkara,Grama Panchayat,Maruthonkara Grama Panchayat,Nadapuram,22
Nadapuram,Grama Panchayat,Nadapuram Grama Panchayat,Nadapuram,22
Narippatta,Grama Panchayat,Narippatta Grama Panchayat,Nadapuram,22
Thuneri,Grama Panchayat,Thuneri Grama Panchayat,Nadapuram,22
Valayam,Grama Panchayat,Valayam Grama Panchayat,Nadapuram,22
Vanimel,Grama Panchayat,Vanimel Grama Panchayat,Nadapuram,22
Quilandy Municipality,Municipality,Quilandy Municipality,Quilandy,23
Chemancheri,Grama Panchayat,Chemancheri Grama Panchayat,Quilandy,23
Chengottukavu,Grama Panchayat,Chengottukavu Grama Panchayat,Quilandy,23
Moodadi,Grama Panchayat,Moodadi Grama Panchayat,Quilandy,23
Payyoli,Grama Panchayat,Payyoli Grama Panchayat,Quilandy,23
Thikkody,Grama Panchayat,Thikkody Grama Panchayat,Quilandy,23
Arikkulam,Grama Panchayat,Arikkulam Grama Panchayat,Perambra,24
Chakkittapara,Grama Panchayat,Chakkittapara Grama Panchayat,Perambra,24
Changaroth,Grama Panchayat,Changaroth Grama Panchayat,Perambra,24
Cheruvannur,Grama Panchayat,Cheruvannur Grama Panchayat,Perambra,24
Keezhariyur,Grama Panchayat,Keezhariyur Grama Panchayat,Perambra,24
Koothali,Grama Panchayat,Koothali Grama Panchayat,Perambra,24
Meppayyur,Grama Panchayat,Meppayyur Grama Panchayat,Perambra,24
Nochad,Grama Panchayat,Nochad Grama Panchayat,Perambra,24
Perambra,Grama Panchayat,Perambra Grama Panchayat,Perambra,24
Thurayur,Grama Panchayat,Thurayur Grama Panchayat,Perambra,24
Atholi,Grama Panchayat,Atholi Grama Panchayat,Balusseri (SC),25
Balusseri,Grama Panchayat,Balusseri Grama Panchayat,Balusseri (SC),25
Kayanna,Grama Panchayat,Kayanna Grama Panchayat,Balusseri (SC),25
Koorachundu,Grama Panchayat,Koorachundu Grama Panchayat,Balusseri (SC),25
Kottur,Grama Panchayat,Kottur Grama Panchayat,Balusseri (SC),25
Naduvannur,Grama Panchayat,Naduvannur Grama Panchayat,Balusseri (SC),25
Panangad,Grama Panchayat,Panangad Grama Panchayat,Balusseri (SC),25
Ulliyeri,Grama Panchayat,Ulliyeri Grama Panchayat,Balusseri (SC),25
Unnikulam,Grama Panchayat,Unnikulam Grama Panchayat,Balusseri (SC),25
Chelannur,Grama Panchayat,Chelannur Grama Panchayat,Elathur,26
Elathur,Grama Panchayat,Elathur Grama Panchayat,Elathur,26
Kakkodi,Grama Panchayat,Kakkodi Grama Panchayat,Elathur,26
Kakkur,Grama Panchayat,Kakkur Grama Panchayat,Elathur,26
Kuruvattur,Grama Panchayat,Kuruvattur Grama Panchayat,Elathur,26
Nanmanda,Grama Panchayat,Nanmanda Grama Panchayat,Elathur,26
Thalakkulathur,Grama Panchayat,Thalakkulathur Grama Panchayat,Elathur,26
Ward No. 1,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 2,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 3,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 4,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 5,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 6,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 7,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 8,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
Ward No. 9,Municipal Corporation,Kozhikode Municipal Corporation,Kozhikode North,27
